,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.3002850431077024,2.29507662653923,15.120000000000001,10.939878463745117
1,2,2.291440172398344,2.2864064455032347,22.98,9.699445247650146
2,3,2.2821466029958524,2.2765208184719086,31.89,9.219000101089478
3,4,2.271266418822268,2.2632106244564056,40.35,9.266149759292603
4,5,2.258537435531616,2.2491124987602236,43.63,9.21540379524231
5,6,2.2434537573063627,2.2329388737678526,46.63,9.214167356491089
6,7,2.2249108629023775,2.2114317953586577,48.120000000000005,9.182992458343506
7,8,2.201245172987593,2.184948092699051,50.92,9.293177127838135
8,9,2.172042075623857,2.153109300136566,52.080000000000005,9.12890338897705
9,10,2.1360308525410105,2.114260882139206,53.99,9.212921142578125
10,11,2.090652582493234,2.0588034272193907,55.28999999999999,9.188278198242188
11,12,2.0310951060437143,1.9903506010770797,57.809999999999995,9.19835376739502
12,13,1.958484382832304,1.912389087677002,58.15,9.137496709823608
13,14,1.8707270794726432,1.8247996658086776,59.97,9.153625726699829
14,15,1.7716601123201086,1.7102631956338883,61.46,9.229494333267212
15,16,1.6575640247223224,1.5814356803894043,59.89,9.214578628540039
16,17,1.5571552520102643,1.4740176677703858,63.629999999999995,9.21955132484436
17,18,1.4523919841076465,1.3896419793367385,63.080000000000005,9.171344518661499
18,19,1.3827857438554154,1.3090727776288986,64.45,9.237871170043945
19,20,1.297772216796875,1.266465923190117,63.78,9.239121675491333
20,1,2.2992149505209416,2.294740933179855,14.860000000000001,9.899760484695435
21,2,2.290516464760963,2.286461466550827,20.89,9.499786138534546
22,3,2.281379439982962,2.275717055797577,27.029999999999998,9.397665977478027
23,4,2.270955816228339,2.2640507876873017,34.31,9.42412805557251
24,5,2.2579998056939306,2.249904680252075,40.82,9.475520610809326
25,6,2.242409611762838,2.2309728264808655,43.419999999999995,9.257816314697266
26,7,2.2225179753404984,2.208779352903366,46.78,9.357680082321167
27,8,2.198788412581099,2.183643877506256,47.870000000000005,9.273258447647095
28,9,2.168185468430215,2.1465840280056,50.449999999999996,9.345502614974976
29,10,2.1305750441043934,2.1066622853279116,53.36,9.365995407104492
30,11,2.084759569168091,2.053886780142784,53.12,9.45009708404541
31,12,2.0245778956311815,1.9825736045837403,56.38999999999999,9.276901006698608
32,13,1.9474611987458899,1.8936700105667115,58.56,9.443570375442505
33,14,1.8608377101573539,1.7958076894283295,58.79,9.28213906288147
34,15,1.760818014246352,1.6979406476020813,61.23,9.410082578659058
35,16,1.6439495294652087,1.5872873157262801,60.099999999999994,9.400213241577148
36,17,1.5410966979696397,1.487513506412506,60.17,9.367890357971191
37,18,1.4427024065180027,1.380398467183113,62.45,9.352897882461548
38,19,1.3614856719970703,1.3121657103300095,63.959999999999994,9.40855360031128
39,20,1.2870479740995042,1.256709587574005,62.949999999999996,9.382503986358643
40,1,2.3008373585153135,2.297033739089966,14.2,9.903297424316406
41,2,2.2918375431223117,2.286308878660202,27.150000000000002,9.692858695983887
42,3,2.2823422665291644,2.276954561471939,36.78,9.490981340408325
43,4,2.2712699798827476,2.2648775815963744,43.05,9.342902421951294
44,5,2.259049129486084,2.2510366797447205,45.910000000000004,9.366225719451904
45,6,2.2437622465985885,2.2342997670173643,47.699999999999996,9.352301597595215
46,7,2.2258005132066443,2.214496821165085,50.38,9.396892547607422
47,8,2.2047311488618244,2.191329389810562,53.080000000000005,9.499237298965454
48,9,2.1769336598984736,2.157943254709244,54.769999999999996,9.467022895812988
49,10,2.1429471442039976,2.115480810403824,55.25,9.384588241577148
50,11,2.0994185123037785,2.065834027528763,55.96,9.64589548110962
51,12,2.045112007729551,2.004190370440483,58.220000000000006,9.38580846786499
52,13,1.9783895791845119,1.9342482686042786,57.93000000000001,9.444801330566406
53,14,1.891721864456826,1.8302773863077164,58.98,9.455729484558105
54,15,1.7882374616379433,1.730228739976883,61.12,9.397385597229004
55,16,1.686922870798314,1.602507933974266,60.29,9.381720781326294
56,17,1.5849926623892276,1.488328570127487,62.12,9.447935104370117
57,18,1.4736633874000387,1.4073076575994492,61.36000000000001,9.435594320297241
58,19,1.3891625419576117,1.3225773394107818,61.809999999999995,9.397351741790771
59,20,1.3200208121157706,1.3210788875818253,60.61,9.398624420166016
60,1,2.298962311034507,2.2950368225574493,15.459999999999999,9.393582344055176
61,2,2.2899896195594303,2.2852756083011627,26.640000000000004,9.431794166564941
62,3,2.2802170783915416,2.274814319610596,35.66,9.433984518051147
63,4,2.2691033079269083,2.2619336426258085,41.21,9.365286588668823
64,5,2.2562538238281897,2.247958719730377,45.28,9.379628419876099
65,6,2.240775663294691,2.231144165992737,48.94,9.50237774848938
66,7,2.2224823900993833,2.209678643941879,52.1,9.315667867660522
67,8,2.198849461941009,2.182986688613892,53.56999999999999,9.267893552780151
68,9,2.1727272561255924,2.152915632724762,50.23,9.349157333374023
69,10,2.1375467909143326,2.1091421067714693,54.43,9.43227767944336
70,11,2.092109092752984,2.060056209564209,54.32,9.315696001052856
71,12,2.031650229210549,1.991817593574524,57.410000000000004,9.450163125991821
72,13,1.9610030909802052,1.9055791318416595,57.31,9.352908372879028
73,14,1.872069797617324,1.8002249032258988,59.47,9.413299322128296
74,15,1.7653139479616855,1.6911541402339936,60.73,9.267528533935547
75,16,1.659087117682112,1.586391419172287,61.82,9.483424425125122
76,17,1.5475811095947916,1.4848453521728515,62.25000000000001,9.3643057346344
77,18,1.4593440558048005,1.4022462755441665,61.919999999999995,9.400008201599121
78,19,1.3713213702465625,1.3130013555288316,62.78,9.318135261535645
79,20,1.3059902231743996,1.2584026098251342,63.0,9.24859070777893
80,1,2.299191195914086,2.295015460252762,15.840000000000002,9.45951247215271
81,2,2.2901541801209144,2.284849464893341,27.650000000000002,9.280001878738403
82,3,2.280556967917909,2.2753655135631563,32.65,9.37846851348877
83,4,2.2699528927498673,2.2621956288814546,42.36,9.397253513336182
84,5,2.256730123276406,2.2467547416687013,44.019999999999996,9.471729516983032
85,6,2.2405819395755198,2.2308924436569213,48.309999999999995,9.348029375076294
86,7,2.2219159014681553,2.2069918692111967,48.42,9.40309762954712
87,8,2.1989140875796056,2.1815983176231386,50.129999999999995,9.382596969604492
88,9,2.1684497508596867,2.1494550585746763,51.239999999999995,9.311110496520996
89,10,2.1306999338434096,2.1028218269348145,53.239999999999995,9.2852463722229
90,11,2.0829894644148808,2.046624156832695,55.279999999999994,9.351749181747437
91,12,2.0200996018470603,1.9761632412672043,57.47,9.325295686721802
92,13,1.9454423168872266,1.8851273506879807,58.48,9.320656776428223
93,14,1.8504778933017811,1.7839195519685744,58.08,9.433353662490845
94,15,1.7417803419397233,1.6881612181663512,60.34,9.435155391693115
95,16,1.6363326437929844,1.5557687014341355,60.129999999999995,9.362902641296387
96,17,1.5166223460055412,1.4452036619186401,62.5,9.419896841049194
97,18,1.4238660751505101,1.3697700291872024,61.71,9.315995454788208
98,19,1.343175874365137,1.2895711958408356,61.73,9.399224519729614
99,20,1.2705682576970851,1.2459290206432343,62.739999999999995,9.399965763092041
100,1,2.299713398547883,2.2953732013702393,17.04,9.473572492599487
101,2,2.290790793236266,2.2856209576129913,25.169999999999998,9.349602699279785
102,3,2.2808258117513454,2.276738691329956,34.67,9.419812679290771
103,4,2.2707843121061932,2.263897293806076,43.480000000000004,9.495306968688965
104,5,2.257921202639316,2.250270462036133,46.33,9.36714768409729
105,6,2.243044713202943,2.232871925830841,47.370000000000005,9.49790620803833
106,7,2.2250019560468957,2.2117888391017915,50.5,9.36505913734436
107,8,2.2034766724769104,2.188236576318741,52.080000000000005,9.303466558456421
108,9,2.17665508858701,2.155141407251358,51.93,9.224331617355347
109,10,2.140257565518643,2.1159135162830354,53.339999999999996,9.40779972076416
110,11,2.0964355641223014,2.0616363108158113,55.92,9.414950609207153
111,12,2.0409282562580513,2.0021042436361314,54.620000000000005,9.365505456924438
112,13,1.9730853527150256,1.9255133777856828,57.720000000000006,9.286377668380737
113,14,1.882217616730548,1.8208003491163254,58.230000000000004,9.401260137557983
114,15,1.7829015310774459,1.7237307608127594,58.79,9.379331827163696
115,16,1.6759465877045976,1.603896862268448,59.230000000000004,9.368229389190674
116,17,1.5659515923642098,1.5153106719255447,60.46,9.36682415008545
117,18,1.4663025713981466,1.40243099629879,63.190000000000005,9.396089553833008
118,19,1.3873000637013861,1.3366915822029113,62.0,9.5670907497406
119,20,1.311959981918335,1.2397809773683548,64.37,9.572453260421753
120,1,2.3000728181067935,2.296159929037094,14.149999999999999,9.366225004196167
121,2,2.2919758857564725,2.2871108949184418,23.87,9.536970615386963
122,3,2.2826198801081232,2.2781208157539368,31.41,9.44589877128601
123,4,2.2717471883652056,2.265289968252182,40.9,9.386094570159912
124,5,2.2597743166253923,2.2512728929519654,46.64,9.33311939239502
125,6,2.2447989544969924,2.234031218290329,50.06,9.31297755241394
126,7,2.22728222075929,2.2153340756893156,50.6,9.757805347442627
127,8,2.2069118966447547,2.192209315299988,53.52,9.84937334060669
128,9,2.180051898956299,2.1631962656974792,52.59,10.026878118515015
129,10,2.1470702242343984,2.1233473241329195,54.449999999999996,9.102561712265015
130,11,2.10600586647683,2.076521933078766,56.45,9.278929948806763
131,12,2.0573618209108395,2.0175544053316115,58.10999999999999,8.624913215637207
132,13,1.987801680666335,1.9423410058021546,60.72,10.211384534835815
133,14,1.9025968861072622,1.846406239271164,58.95,9.387105464935303
134,15,1.8039292330437517,1.7542976886034012,59.01,9.361361980438232
135,16,1.6946744797077584,1.6271716743707656,61.01,9.262354850769043
136,17,1.5824975485497332,1.5053655803203583,61.73,9.322962284088135
137,18,1.480987313960461,1.4385909408330917,61.77,9.366677522659302
138,19,1.386427445107318,1.3272576987743379,62.43,9.261549711227417
139,20,1.3337259191147826,1.2650682359933854,63.870000000000005,9.38207745552063
140,1,2.298811191193601,2.2946298480033875,14.42,9.476795196533203
141,2,2.290206302480495,2.2848455905914307,21.55,9.385193586349487
142,3,2.28020920043296,2.27437362074852,27.98,9.691264629364014
143,4,2.268376239817193,2.261415982246399,36.82,9.29878282546997
144,5,2.254376640725643,2.245382833480835,41.839999999999996,9.517438650131226
145,6,2.237642444448268,2.2256815314292906,45.34,9.644882440567017
146,7,2.2163324447388346,2.201052463054657,47.839999999999996,9.221283435821533
147,8,2.1898328233272473,2.172465682029724,50.39,9.210951566696167
148,9,2.157927236151188,2.13639754652977,49.9,9.227988481521606
149,10,2.116620352927675,2.088948428630829,54.33,9.200021505355835
150,11,2.0634507625660996,2.03357672393322,57.50999999999999,9.19442343711853
151,12,1.9976843808559661,1.9519255727529525,56.95,8.982624053955078
152,13,1.922539220972264,1.8627672076225281,57.99999999999999,9.197106838226318
153,14,1.8277306855993067,1.759387981891632,60.46,9.262540340423584
154,15,1.7156101115206455,1.651104462146759,61.150000000000006,9.049132823944092
155,16,1.6072937914665708,1.5312852084636688,61.44,9.120467185974121
156,17,1.503835260107162,1.4344282418489456,61.870000000000005,9.110410451889038
157,18,1.4084857681964307,1.3486458986997605,62.36000000000001,9.353389263153076
158,19,1.3403702325009286,1.2807368993759156,63.17,9.43111777305603
159,20,1.2764255802682105,1.217323362827301,63.9,9.564720153808594
160,1,2.2993555068969727,2.2950365364551546,15.2,9.49448275566101
161,2,2.2907750058681406,2.284380942583084,25.290000000000003,9.348659753799438
162,3,2.281280880786003,2.274873548746109,36.870000000000005,9.364994049072266
163,4,2.2701880424580674,2.2636884570121767,44.04,9.333286046981812
164,5,2.257458613781219,2.2504413425922394,47.74,9.285759687423706
165,6,2.2437000629749706,2.234588658809662,49.16,9.541856288909912
166,7,2.2270163962181577,2.2152632236480714,52.51,9.391163349151611
167,8,2.205615452502636,2.1896727621555327,54.779999999999994,9.38429045677185
168,9,2.179928436685116,2.1608361542224883,54.66,9.446464538574219
169,10,2.1479884736081387,2.123002737760544,56.13,8.936176776885986
170,11,2.1045809603751975,2.073385405540466,56.08,9.085313558578491
171,12,2.0519442116960565,2.0211014628410338,54.35,9.035390138626099
172,13,1.9845190890291904,1.9324394345283509,58.45,9.177043199539185
173,14,1.9036678045353992,1.8482912182807922,57.48,9.07556438446045
174,15,1.802565664940692,1.7365003675222397,58.650000000000006,9.000376462936401
175,16,1.702718050936435,1.6354039400815963,59.8,9.017587900161743
176,17,1.5911695936892896,1.5223088324069978,61.5,9.022243976593018
177,18,1.4889061390085423,1.4335924625396728,62.01,9.08352279663086
178,19,1.3903563854542185,1.3590104430913925,60.79,9.156244039535522
179,20,1.3237565476843651,1.2765359729528427,63.79,9.066389322280884
180,1,2.2998481780924696,2.2971430003643034,15.129999999999999,9.17685317993164
181,2,2.2918271561886403,2.2873300433158876,25.990000000000002,9.176767110824585
182,3,2.2828230320139133,2.2771988570690156,33.14,9.194317817687988
183,4,2.2723562088418516,2.265068233013153,42.63,9.183273315429688
184,5,2.2604169551362383,2.2528633952140806,46.01,9.13012981414795
185,6,2.246094013782258,2.2365830540657043,48.870000000000005,9.102907419204712
186,7,2.228313027036951,2.2187597513198853,51.33,9.092421293258667
187,8,2.2072507148093368,2.192782598733902,49.99,9.155036449432373
188,9,2.180739814677137,2.162880313396454,51.2,8.957693338394165
189,10,2.1482926764386767,2.1237347781658173,54.35,9.057348489761353
190,11,2.105696661928867,2.0748141705989838,55.60000000000001,9.120297908782959
191,12,2.0520595190372872,2.0199604094028474,55.26,9.070924043655396
