,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.289295190935328,2.2716835080048976,25.83,13.517223119735718
1,2,2.2470673774324332,2.215733589270176,28.24,16.079439401626587
2,3,2.162071747357461,2.0924534644836035,31.4,13.67892837524414
3,4,1.9790708490725897,1.8445602326821058,43.03,14.727602005004883
4,5,1.6894413001254884,1.5456455082465441,48.59,13.096739053726196
5,6,1.4214097508244223,1.3189358459069178,56.96,14.351089000701904
6,7,1.2309663084553297,1.16431271418547,59.919999999999995,14.480278253555298
7,8,1.0971827783096053,1.0521803861245131,62.06,11.694952964782715
8,9,0.9973869083276299,0.9673590721228184,63.849999999999994,11.466967105865479
9,10,0.921668199108657,0.9034053522806901,65.51,11.435776472091675
10,11,0.8645638175936875,0.8553679723006028,67.08,11.496416807174683
11,12,0.8213610802414323,0.8188487757474948,68.27,11.970503568649292
12,13,0.7879891819226195,0.7902816499655063,69.51,11.95856785774231
13,14,0.7612969621522958,0.7669582483478081,70.47,12.64017128944397
14,15,0.7390269035336302,0.7471061759652236,71.41999999999999,14.051772117614746
15,16,0.7196624368715439,0.7295207316294695,72.41,11.798250198364258
16,17,0.7022456325105567,0.713496666879226,73.22999999999999,11.428621768951416
17,18,0.6862537661128009,0.6986903603642415,73.89,11.637935400009155
18,19,0.6714382374235762,0.6849206109077502,74.77000000000001,11.221652269363403
19,20,0.6576566213350286,0.6721243667296875,75.51,11.9325692653656
20,21,0.6448590263104108,0.6602837710808485,76.03,13.013187170028687
21,22,0.6330130721741578,0.6493519187355653,76.5,11.542385578155518
22,23,0.6220616207814904,0.6392777627095197,76.97,12.448675155639648
23,24,0.6119304484148036,0.6299716774851848,77.32,12.323956727981567
24,25,0.6025382393261411,0.6213574804938756,77.8,12.168667554855347
25,26,0.5938080105862978,0.6133732050657272,78.10000000000001,11.778483867645264
26,27,0.5856687518168666,0.6059453905774996,78.31,11.075325965881348
